seq1	>ref-NC_001874.1 Rhopalosiphum padi virus, complete genome-table6-Dicistroviridae-HMM1600-2142_23.0-ORF78
seq155	>tsa-GAZV01045194.1 TSA: Apis mellifera comp20813_c0_seq1 transcribed RNA sequence-table1-Dicistroviridae-HMM18-85_78.0-ORF2
seq156	>tsa-GAZV01048855.1 TSA: Apis mellifera comp24541_c0_seq1 transcribed RNA sequence-table1-Dicistroviridae-HMM1-91_97.0-ORF2
seq157	>tsa-GBAQ01012358.1 (REVERSE SENSE) TSA: Aplysia californica comp81079_c0_seq1 transcribed RNA sequence-table1-Dicistroviridae-HMM2-69_97.0-ORF5
seq158	>tsa-GEDF01023733.1 TSA: Astacus astacus TR33694_c0_g2_i1 transcribed RNA sequence-table4-Dicistroviridae-HMM1101-1528_27.0-ORF64
seq159	>tsa-GAFS01001458.1 TSA: Pontastacus leptodactylus Pastle_hypoyo_c1481 transcribed RNA sequence-table6-Dicistroviridae-HMM1276-1758_25.0-ORF74
seq160	>tsa-GAFY01022769.1 TSA: Pontastacus leptodactylus Pastle_hepa_c23018 transcribed RNA sequence-table1-Dicistroviridae-HMM2-103_93.0-ORF3
seq161	>tsa-GBEI01029468.1 TSA: Pontastacus leptodactylus Pl_CLC_29548 transcribed RNA sequence-table6-Dicistroviridae-HMM34-512_90.0-ORF18
seq162	>tsa-GBEI01070830.1 TSA: Pontastacus leptodactylus Pl_CLC_72284 transcribed RNA sequence-table1-Dicistroviridae-HMM1-167_89.0-ORF8
seq163	>tsa-GBEI01077700.1 TSA: Pontastacus leptodactylus Pl_CLC_79335 transcribed RNA sequence-table6-Dicistroviridae-HMM1297-1779_25.0-ORF75
seq164	>tsa-GFOA01015101.1 TSA: Bactrocera bryoniae TR9634_c0_g1_i1 transcribed RNA sequence-table6-Dicistroviridae-HMM744-1273_41.0-ORF42
seq165	>tsa-GFOA01031486.1 (REVERSE SENSE) TSA: Bactrocera bryoniae TR15583_c6_g1_i1 transcribed RNA sequence-table6-Dicistroviridae-HMM1477-2006_26.0-ORF188
seq166	>tsa-GAKP01000047.1 TSA: Bactrocera dorsalis comp111779_c0_seq1 transcribed RNA sequence-table1-Dicistroviridae-HMM2-93_84.0-ORF4
seq167	>tsa-GAKP01021200.1 TSA: Bactrocera dorsalis comp30244_c0_seq1.1 transcribed RNA sequence-table6-Dicistroviridae-HMM340-869_60.0-ORF30
seq168	>tsa-GAKP01021201.1 TSA: Bactrocera dorsalis comp30244_c0_seq1.2 transcribed RNA sequence-table6-Dicistroviridae-HMM340-869_60.0-ORF30
seq169	>tsa-GAKP01022830.1 TSA: Bactrocera dorsalis comp35035_c0_seq1 transcribed RNA sequence-table6-Dicistroviridae-HMM335-747_55.0-ORF27
seq170	>tsa-GDRP01000304.1 (REVERSE SENSE) TSA: Bactrocera dorsalis CL1143.Contig1 transcribed RNA sequence-table6-Dicistroviridae-HMM2-153_93.0-ORF20
seq171	>tsa-GDRP01003293.1 TSA: Bactrocera dorsalis CL558.Contig1 transcribed RNA sequence-table1-Dicistroviridae-HMM975-1332_26.0-ORF37
seq172	>tsa-GEEA01027225.1 TSA: Bactrocera dorsalis comp65636_c0_seq1 transcribed RNA sequence-table6-Dicistroviridae-HMM1499-2028_25.0-ORF68
seq173	>tsa-GEYS01000516.1 (REVERSE SENSE) TSA: Bactrocera dorsalis CL154.Contig1_All transcribed RNA sequence-table6-Dicistroviridae-HMM1409-1938_27.0-ORF154
seq174	>tsa-GFNX01006573.1 TSA: Bactrocera frauenfeldi TR4667_c0_g1_i1 transcribed RNA sequence-table1-Dicistroviridae-HMM5-84_92.0-ORF4
seq175	>tsa-GFNX01006574.1 TSA: Bactrocera frauenfeldi TR4667_c1_g1_i1 transcribed RNA sequence-table6-Dicistroviridae-HMM1-89_80.0-ORF5
seq176	>tsa-GFNX01007415.1 TSA: Bactrocera frauenfeldi TR5192_c0_g1_i1 transcribed RNA sequence-table6-Dicistroviridae-HMM4-78_93.0-ORF2
seq177	>tsa-GFNX01012327.1 (REVERSE SENSE) TSA: Bactrocera frauenfeldi TR8031_c0_g1_i1 transcribed RNA sequence-table6-Dicistroviridae-HMM114-643_81.0-ORF49
seq178	>tsa-GFNX01012328.1 (REVERSE SENSE) TSA: Bactrocera frauenfeldi TR8031_c0_g2_i1 transcribed RNA sequence-table6-Dicistroviridae-HMM4-138_91.0-ORF16
seq179	>tsa-GFNX01017835.1 TSA: Bactrocera frauenfeldi TR10897_c22_g1_i1 transcribed RNA sequence-table6-Dicistroviridae-HMM1420-1949_27.0-ORF69
seq180	>tsa-GFNY01040637.1 (REVERSE SENSE) TSA: Bactrocera jarvisi TR18801_c1_g1_i1 transcribed RNA sequence-table6-Dicistroviridae-HMM21-550_94.0-ORF76
seq181	>tsa-GFNY01040639.1 (REVERSE SENSE) TSA: Bactrocera jarvisi TR18801_c1_g1_i3 transcribed RNA sequence-table6-Dicistroviridae-HMM27-556_93.0-ORF85
seq182	>tsa-GFNY01040640.1 (REVERSE SENSE) TSA: Bactrocera jarvisi TR18801_c1_g1_i4 transcribed RNA sequence-table6-Dicistroviridae-HMM21-550_94.0-ORF79
seq183	>tsa-GFNY01040641.1 (REVERSE SENSE) TSA: Bactrocera jarvisi TR18801_c1_g1_i5 transcribed RNA sequence-table6-Dicistroviridae-HMM27-556_93.0-ORF82
seq184	>tsa-GFNT01008162.1 (REVERSE SENSE) TSA: Bactrocera kraussi TR5524_c0_g1_i1 transcribed RNA sequence-table1-Dicistroviridae-HMM114-368_68.0-ORF34
seq185	>tsa-GFNT01023413.1 TSA: Bactrocera kraussi TR12948_c7_g1_i1 transcribed RNA sequence-table6-Dicistroviridae-HMM1420-1949_27.0-ORF70
seq186	>tsa-GFNT01068132.1 TSA: Bactrocera kraussi TR28789_c0_g1_i1 transcribed RNA sequence-table1-Dicistroviridae-HMM5-100_95.0-ORF2
seq187	>tsa-GFNT01077441.1 TSA: Bactrocera kraussi TR37883_c0_g1_i1 transcribed RNA sequence-table6-Dicistroviridae-HMM1-301_96.0-ORF11
seq188	>tsa-GDHF01000396.1 TSA: Bactrocera latifrons TR47584-c0_g1_i1 transcribed RNA sequence-table6-Dicistroviridae-HMM1445-1974_26.0-ORF69
seq189	>tsa-GFOR01018732.1 TSA: Bactrocera latifrons TR12105_c0_g1_i1 transcribed RNA sequence-table6-Dicistroviridae-HMM1445-1974_26.0-ORF69
seq190	>tsa-GFNZ01028390.1 (REVERSE SENSE) TSA: Bactrocera musae TR15166_c5_g2_i1 transcribed RNA sequence-table6-Dicistroviridae-HMM103-632_82.0-ORF87
seq191	>tsa-GFNZ01028391.1 (REVERSE SENSE) TSA: Bactrocera musae TR15166_c5_g2_i2 transcribed RNA sequence-table6-Dicistroviridae-HMM994-1523_34.0-ORF148
seq192	>tsa-GFNZ01028392.1 (REVERSE SENSE) TSA: Bactrocera musae TR15166_c5_g2_i3 transcribed RNA sequence-table6-Dicistroviridae-HMM103-632_82.0-ORF85
seq193	>tsa-GAKB01000004.1 (REVERSE SENSE) TSA: Bactrocera oleae contig00002 transcribed RNA sequence-table6-Dicistroviridae-HMM335-603_44.0-ORF100
seq194	>tsa-GBQR01012677.1 TSA: Bembix rostrata C61919_a_4_0_l_341 transcribed RNA sequence-table1-Dicistroviridae-HMM2-113_98.0-ORF4
seq195	>tsa-GEPD01000876.1 (REVERSE SENSE) TSA: Brachyuropus grewingkii c1344_g1_i1 transcribed RNA sequence-table1-Dicistroviridae-HMM17-138_87.0-ORF12
seq196	>tsa-GEPD01001063.1 (REVERSE SENSE) TSA: Brachyuropus grewingkii c1686_g1_i1 transcribed RNA sequence-table1-Dicistroviridae-HMM2-80_96.0-ORF7
seq197	>tsa-HAEM01046211.1 (REVERSE SENSE) TSA: Bragasellus molinai, contig comp61748_c0_seq1, transcribed RNA sequence-table6-Dicistroviridae-HMM13-194_68.0-ORF24
seq198	>tsa-HAEM01054557.1 TSA: Bragasellus molinai, contig comp67450_c0_seq1, transcribed RNA sequence-table6-Dicistroviridae-HMM1-250_81.0-ORF12
seq199	>tsa-HAEM01085576.1 (REVERSE SENSE) TSA: Bragasellus molinai, contig comp79474_c2_seq2, transcribed RNA sequence-table6-Dicistroviridae-HMM1503-2005_24.0-ORF151
seq200	>tsa-HAEN01028846.1 TSA: Bragasellus peltatus, contig comp35485_c0_seq2, transcribed RNA sequence-table6-Dicistroviridae-HMM2-223_92.0-ORF8
seq201	>tsa-HAEN01106872.1 (REVERSE SENSE) TSA: Bragasellus peltatus, contig comp1272115_c0_seq1, transcribed RNA sequence-table1-Dicistroviridae-HMM1-83_98.0-ORF5
seq202	>tsa-GAXK01113835.1 TSA: Calanus finmarchicus comp1218751_c0_seq1 transcribed RNA sequence-table6-Dicistroviridae-HMM1560-2009_14.0-ORF104
seq203	>tsa-GFSL01072243.1 (REVERSE SENSE) TSA: Camellia sasanqua CSATR028388 transcribed RNA sequence-table6-Dicistroviridae-HMM1497-2043_26.0-ORF183
seq204	>tsa-GACF01095403.1 TSA: Camptotheca acuminata caa41164_iso1 mRNA sequence-table4-Dicistroviridae-HMM1465-1970_25.0-ORF40
seq205	>tsa-GACF01095404.1 TSA: Camptotheca acuminata caa41164_iso2 mRNA sequence-table4-Dicistroviridae-HMM1463-1968_25.0-ORF40
seq206	>tsa-GBXE01028006.1 (REVERSE SENSE) TSA: Carcinus maenas comp41371_c1_seq1 transcribed RNA sequence-table6-Dicistroviridae-HMM1179-1661_27.0-ORF177
seq207	>tsa-GBXE01040792.1 TSA: Carcinus maenas comp54733_c0_seq1 transcribed RNA sequence-table1-Dicistroviridae-HMM258-447_42.0-ORF9
seq208	>tsa-GBXE01040794.1 TSA: Carcinus maenas comp54733_c1_seq2 transcribed RNA sequence-table6-Dicistroviridae-HMM1-310_80.0-ORF13
seq209	>tsa-GEUY01010950.1 (REVERSE SENSE) TSA: Cenchrus americanus pm_c13537 transcribed RNA sequence-table6-Dicistroviridae-HMM1-117_68.0-ORF15
seq210	>tsa-GAMC01000524.1 TSA: Ceratitis capitata comp47797_c0_seq1 mRNA sequence-table1-Dicistroviridae-HMM364-509_28.0-ORF14
seq211	>tsa-GAMC01006902.1 TSA: Ceratitis capitata comp60436_c0_seq1 mRNA sequence-table6-Dicistroviridae-HMM1386-1915_27.0-ORF64
seq212	>tsa-GAMC01016612.1 TSA: Ceratitis capitata comp64652_c1_seq3.1 mRNA sequence-table6-Dicistroviridae-HMM1-511_98.0-ORF21
seq213	>tsa-GAMC01016613.1 TSA: Ceratitis capitata comp64652_c1_seq3.2 mRNA sequence-table6-Dicistroviridae-HMM1-511_98.0-ORF21
seq214	>tsa-GAMC01016614.1 TSA: Ceratitis capitata comp64652_c1_seq5.1 mRNA sequence-table6-Dicistroviridae-HMM173-701_74.0-ORF27
seq215	>tsa-GAMC01016615.1 TSA: Ceratitis capitata comp64652_c1_seq5.2 mRNA sequence-table6-Dicistroviridae-HMM173-701_74.0-ORF27
seq216	>tsa-HACB02079847.1 TSA: Cherax quadricarinatus, contig c52615_g1_i2, transcribed RNA sequence-table6-Dicistroviridae-HMM1535-1904_11.0-ORF88
seq217	>tsa-HACK01007022.1 TSA: Cherax quadricarinatus, contig transcript-80_7021, transcribed RNA sequence-table6-Dicistroviridae-HMM1571-1940_11.0-ORF91
seq218	>tsa-GBFA01002570.1 TSA: Chinavia ubica Locus_1151_Transcript_10/10_Confidence_0.173_Length_1897 transcribed RNA sequence-table4-Dicistroviridae-HMM1-142_81.0-ORF6
seq219	>tsa-GBFA01002571.1 TSA: Chinavia ubica Locus_1151_Transcript_1/10_Confidence_0.133_Length_1527 transcribed RNA sequence-table4-Dicistroviridae-HMM1-142_81.0-ORF6
seq220	>tsa-GBFA01002573.1 TSA: Chinavia ubica Locus_1151_Transcript_3/10_Confidence_0.133_Length_1032 transcribed RNA sequence-table4-Dicistroviridae-HMM201-281_23.0-ORF13
seq221	>tsa-GBFA01002574.1 TSA: Chinavia ubica Locus_1151_Transcript_4/10_Confidence_0.184_Length_1918 transcribed RNA sequence-table6-Dicistroviridae-HMM201-515_60.0-ORF15
seq222	>tsa-GBFA01002575.1 TSA: Chinavia ubica Locus_1151_Transcript_5/10_Confidence_0.153_Length_1641 transcribed RNA sequence-table4-Dicistroviridae-HMM201-338_38.0-ORF13
seq223	>tsa-GBFA01002577.1 (REVERSE SENSE) TSA: Chinavia ubica Locus_1151_Transcript_7/10_Confidence_0.173_Length_1897 transcribed RNA sequence-table4-Dicistroviridae-HMM1-142_87.0-ORF37
seq224	>tsa-GBFA01002578.1 TSA: Chinavia ubica Locus_1151_Transcript_8/10_Confidence_0.143_Length_1790 transcribed RNA sequence-table4-Dicistroviridae-HMM1-142_81.0-ORF6
seq225	>tsa-GBFA01002579.1 TSA: Chinavia ubica Locus_1151_Transcript_9/10_Confidence_0.102_Length_1978 transcribed RNA sequence-table4-Dicistroviridae-HMM1-142_81.0-ORF6
seq226	>tsa-GACH01034232.1 TSA: Chromolaena odorata Unigene36944_AA mRNA sequence-table6-Dicistroviridae-HMM159-652_70.0-ORF21
seq227	>tsa-GACH01052291.1 TSA: Chromolaena odorata Unigene59247_AA mRNA sequence-table6-Dicistroviridae-HMM4-243_77.0-ORF9
seq228	>tsa-GACH01061638.1 TSA: Chromolaena odorata Unigene71661_AA mRNA sequence-table1-Dicistroviridae-HMM1-69_98.0-ORF5
seq229	>tsa-GACH01071940.1 (REVERSE SENSE) TSA: Chromolaena odorata Unigene87697_AA mRNA sequence-table1-Dicistroviridae-HMM3-88_96.0-ORF6
seq230	>tsa-GACH01075017.1 TSA: Chromolaena odorata Unigene92012_AA mRNA sequence-table1-Dicistroviridae-HMM5-137_96.0-ORF5
seq231	>tsa-GACH01085532.1 (REVERSE SENSE) TSA: Chromolaena odorata Unigene106273_AA mRNA sequence-table1-Dicistroviridae-HMM15-114_86.0-ORF10
seq232	>tsa-GACH01093840.1 (REVERSE SENSE) TSA: Chromolaena odorata Unigene117462_AA mRNA sequence-table4-Dicistroviridae-HMM1-138_87.0-ORF17
seq233	>tsa-GCEL01073115.1 TSA: Cipangopaludina cathayensis CCAH01073473 transcribed RNA sequence-table1-Dicistroviridae-HMM1-117_99.0-ORF4
seq234	>tsa-GCEL01073116.1 (REVERSE SENSE) TSA: Cipangopaludina cathayensis CCAH01073474 transcribed RNA sequence-table1-Dicistroviridae-HMM2-101_98.0-ORF10
seq235	>tsa-GCEL01073117.1 (REVERSE SENSE) TSA: Cipangopaludina cathayensis CCAH01073475 transcribed RNA sequence-table1-Dicistroviridae-HMM1-87_98.0-ORF8
seq236	>tsa-GCEL01150465.1 (REVERSE SENSE) TSA: Cipangopaludina cathayensis CCAH01150987 transcribed RNA sequence-table6-Dicistroviridae-HMM3-81_91.0-ORF41
seq237	>tsa-GCIB01046538.1 (REVERSE SENSE) TSA: Colobanthus quitensis Colobanthus_quitensis_contig_45910_1 transcribed RNA sequence-table1-Dicistroviridae-HMM595-873_31.0-ORF69
seq238	>tsa-GCIB01076644.1 TSA: Colobanthus quitensis Colobanthus_quitensis_contig_75808_1 transcribed RNA sequence-table6-Dicistroviridae-HMM1473-1974_24.0-ORF68
seq239	>tsa-GCIB01151100.1 TSA: Colobanthus quitensis Colobanthus_quitensis_contig_150505_1 transcribed RNA sequence-table1-Dicistroviridae-HMM11-180_92.0-ORF6
seq240	>tsa-GCIB01162224.1 (REVERSE SENSE) TSA: Colobanthus quitensis Colobanthus_quitensis_contig_161918_1 transcribed RNA sequence-table6-Dicistroviridae-HMM1231-1707_17.0-ORF204
seq241	>tsa-GAYH02013035.1 (REVERSE SENSE) TSA: Conwentzia psociformis C233701_a_17_0_l_4139 transcribed RNA sequence-table4-Dicistroviridae-HMM798-1287_37.0-ORF67
seq242	>tsa-GAYH02015994.1 TSA: Conwentzia psociformis s12663_L_10807_0_a_54_7_l_5450 transcribed RNA sequence-table6-Dicistroviridae-HMM912-1399_34.0-ORF45
seq243	>tsa-GAYO02023713.1 TSA: Cordulegaster boltonii C99279_a_24_0_l_2504 transcribed RNA sequence-table1-Dicistroviridae-HMM425-834_49.0-ORF25
seq244	>tsa-GELM01010359.1 (REVERSE SENSE) TSA: Corynactis australis comp121329_c0_seq1 transcribed RNA sequence-table1-Dicistroviridae-HMM2-239_98.0-ORF21
seq245	>tsa-GELM01018403.1 TSA: Corynactis australis comp150578_c0_seq1 transcribed RNA sequence-table1-Dicistroviridae-HMM2-101_98.0-ORF3
seq246	>tsa-GEZQ01027976.1 TSA: Cosmos bipinnatus c38749.graph_c0 transcribed RNA sequence-table6-Dicistroviridae-HMM348-838_57.0-ORF33
seq247	>tsa-IABS01000125.1 TSA: Crematogaster osakensis mRNA, contig: comp10342434_c0_seq1.m.558206, transcribed RNA sequence-table1-Dicistroviridae-HMM2-74_97.0-ORF4
seq248	>tsa-IABS01035039.1 TSA: Crematogaster osakensis mRNA, contig: comp7011579_c0_seq1.m.547049, transcribed RNA sequence-table1-Dicistroviridae-HMM1-68_98.0-ORF3
seq249	>tsa-GFHX01012301.1 (REVERSE SENSE) TSA: Dactylorhiza fuchsii fB1855_comp127326_c0_seq1 transcribed RNA sequence-table1-Dicistroviridae-HMM2-138_98.0-ORF10
seq250	>tsa-GFHX01012303.1 (REVERSE SENSE) TSA: Dactylorhiza fuchsii fB1855_comp127326_c2_seq1 transcribed RNA sequence-table1-Dicistroviridae-HMM10-140_92.0-ORF13
seq251	>tsa-GFHX01046573.1 (REVERSE SENSE) TSA: Dactylorhiza fuchsii fB1855_comp177757_c0_seq1 transcribed RNA sequence-table1-Dicistroviridae-HMM5-67_87.0-ORF6
seq252	>tsa-GAIF01020100.1 (REVERSE SENSE) TSA: Dermanyssus gallinae isotig15585 transcribed RNA sequence-table4-Dicistroviridae-HMM12-391_71.0-ORF63
seq253	>tsa-GAIF01023949.1 TSA: Dermanyssus gallinae isotig15584 transcribed RNA sequence-table4-Dicistroviridae-HMM80-570_64.0-ORF28
seq254	>tsa-HACR01008550.1 TSA: Draba hispanica, contig comp27467_c0_seq, transcribed RNA sequence-table1-Dicistroviridae-HMM20-200_90.0-ORF5
seq255	>tsa-GADP01000168.1 (REVERSE SENSE) TSA: Drosophila ercepeae 5:9089 mRNA sequence-table1-Dicistroviridae-HMM60-472_87.0-ORF35
seq256	>tsa-GARO01030473.1 TSA: Echinogammarus veneris Echinogammarus_veneris_contig_28896_2 transcribed RNA sequence-table1-Dicistroviridae-HMM3-69_95.0-ORF3
seq257	>tsa-GBRW01072866.1 TSA: Elysia cornigera Eco000297_seq1 transcribed RNA sequence-table6-Dicistroviridae-HMM1755-2250_21.0-ORF77
seq258	>tsa-GBRW01128951.1 (REVERSE SENSE) TSA: Elysia cornigera Eco001011_seq2 transcribed RNA sequence-table6-Dicistroviridae-HMM1563-2055_23.0-ORF150
seq259	>tsa-GBRM01110919.1 (REVERSE SENSE) TSA: Elysia timida Eti045671_seq1 transcribed RNA sequence-table6-Dicistroviridae-HMM3-395_93.0-ORF31
seq260	>tsa-GDCY01025956.1 TSA: Endophyte metagenome, transcribed RNA sequence-table6-Dicistroviridae-HMM1076-1546_29.0-ORF46
seq261	>tsa-GEND01036789.1 (REVERSE SENSE) TSA: Entomophthora muscae c21751_g1_i1 transcribed RNA sequence-table1-Dicistroviridae-HMM35-196_82.0-ORF20
seq262	>tsa-GAVW02014758.1 (REVERSE SENSE) TSA: Epiophlebia superstes C72459_a_6_0_l_595 transcribed RNA sequence-table6-Dicistroviridae-HMM16-159_84.0-ORF12
seq263	>tsa-GDQF01009417.1 TSA: Erigeron breviscapus c12835_g1_i1 transcribed RNA sequence-table1-Dicistroviridae-HMM2-186_97.0-ORF9
seq264	>tsa-GDQF01009418.1 TSA: Erigeron breviscapus c12835_g2_i1 transcribed RNA sequence-table6-Dicistroviridae-HMM9-159_75.0-ORF8
seq265	>tsa-GEFT01000091.1 TSA: Eriocheir sinensis CL35.Contig1_B4_Live transcribed RNA sequence-table6-Dicistroviridae-HMM50-546_81.0-ORF18
seq266	>tsa-GEFT01018031.1 TSA: Eriocheir sinensis Unigene14605_B4_Live transcribed RNA sequence-table6-Dicistroviridae-HMM3-498_95.0-ORF17
seq267	>tsa-GFBK01014252.1 TSA: Eriocheir sinensis TRINITY_DN40589_c0_g2_i1 transcribed RNA sequence-table6-Dicistroviridae-HMM1155-1559_25.0-ORF60
seq268	>tsa-GFBK01024301.1 TSA: Eriocheir sinensis TRINITY_DN34409_c0_g1_i1 transcribed RNA sequence-table1-Dicistroviridae-HMM4-132_92.0-ORF6
seq269	>tsa-GFBL01110964.1 (REVERSE SENSE) TSA: Eriocheir sinensis TR96881-c0_g1_i1 transcribed RNA sequence-table6-Dicistroviridae-HMM968-1457_32.0-ORF103
seq270	>tsa-HAAX01017507.1 TSA: Eriocheir sinensis, contig Unigene17590_A0A, transcribed RNA sequence-table1-Dicistroviridae-HMM1-84_96.0-ORF2
seq271	>tsa-HAAX01041312.1 TSA: Eriocheir sinensis, contig Unigene41575_A0A, transcribed RNA sequence-table1-Dicistroviridae-HMM1-78_93.0-ORF2
seq272	>tsa-HAAX01055508.1 TSA: Eriocheir sinensis, contig Unigene55847_A0A, transcribed RNA sequence-table1-Dicistroviridae-HMM14-187_92.0-ORF3
seq273	>tsa-GEFR01063173.1 TSA: Euglena gracilis EG_transcript_63142 transcribed RNA sequence-table1-Dicistroviridae-HMM6-109_94.0-ORF4
seq274	>tsa-GAXW02021755.1 TSA: Euroleon nostras C165788_a_40_0_l_7737 transcribed RNA sequence-table4-Dicistroviridae-HMM993-1471_32.0-ORF52
seq275	>tsa-GAXW02021756.1 (REVERSE SENSE) TSA: Euroleon nostras C165790_a_59_0_l_8932 transcribed RNA sequence-table4-Dicistroviridae-HMM1232-1726_28.0-ORF202
seq276	>tsa-GFJG01102058.1 TSA: Eurypanopeus depressus TR46472-c0_g1_i1 transcribed RNA sequence-table1-Dicistroviridae-HMM2-161_98.0-ORF5
seq277	>tsa-GEUA01010370.1 TSA: Farfantepenaeus aztecus comp47287_c0_seq1 transcribed RNA sequence-table6-Dicistroviridae-HMM1392-1883_25.0-ORF69
seq278	>tsa-GBYB01002971.1 TSA: Fopius arisanus c20837_g1_i1 transcribed RNA sequence-table6-Dicistroviridae-HMM1342-1870_28.0-ORF64
seq279	>tsa-GBYB01008381.1 TSA: Fopius arisanus c20283_g1_i1 transcribed RNA sequence-table6-Dicistroviridae-HMM1252-1744_26.0-ORF67
seq280	>tsa-GAAX01020048.1 TSA: Forficula auricularia DMPC17716074 mRNA sequence-table6-Dicistroviridae-HMM2-184_93.0-ORF6
seq281	>tsa-GAWN02036639.1 TSA: Galloisiana yuasai C216694_a_16_0_l_7829 transcribed RNA sequence-table6-Dicistroviridae-HMM1186-1683_29.0-ORF58
seq282	>tsa-GFCV01109479.1 TSA: Gammarus chevreuxi TRINITY_DN72372_c0_g1_i2 transcribed RNA sequence-table6-Dicistroviridae-HMM1744-2225_20.0-ORF75
seq283	>tsa-HAGG01166649.1 (REVERSE SENSE) TSA: Geranium pyrenaicum, contig Gpyr_comp135282_c0_seq1, transcribed RNA sequence-table1-Dicistroviridae-HMM3-84_90.0-ORF4
seq284	>tsa-GEAC01064995.1 TSA: Gevuina avellana Gavel_contig_65069 transcribed RNA sequence-table6-Dicistroviridae-HMM15-201_23.0-ORF22
seq285	>tsa-GFWH01010640.1 (REVERSE SENSE) TSA: Gloiopeltis furcata scaffold-SBLT-2014632-Gloeopeltis_furcata transcribed RNA sequence-table1-Dicistroviridae-HMM1-108_97.0-ORF10
seq286	>tsa-GFWH01012120.1 (REVERSE SENSE) TSA: Gloiopeltis furcata scaffold-SBLT-2015834-Gloeopeltis_furcata transcribed RNA sequence-table1-Dicistroviridae-HMM8-163_95.0-ORF11
seq287	>tsa-GAWP02034638.1 (REVERSE SENSE) TSA: Grylloblatta bifratrilecta C209707_a_36_0_l_7192 transcribed RNA sequence-table4-Dicistroviridae-HMM421-924_21.0-ORF199
seq288	>tsa-GFAV01015016.1 TSA: Haliclona tubifera c67980_g1_i1 transcribed RNA sequence-table1-Dicistroviridae-HMM1-125_96.0-ORF4
seq289	>tsa-HAHA01037289.1 TSA: Haliclystus auricula, contig TRINITY_DN35477_c0_g1_i1, transcribed RNA sequence-table1-Dicistroviridae-HMM6-96_83.0-ORF4
seq290	>tsa-GDAS01047045.1 TSA: Haliotis discus hannai Abalone_Unigene_BMK.20407 transcribed RNA sequence-table4-Dicistroviridae-HMM1218-1449_8.0-ORF48
seq291	>tsa-GEDJ01018914.1 TSA: Haliotis discus hannai Hal_contig_18971 transcribed RNA sequence-table1-Dicistroviridae-HMM2-244_97.0-ORF5
seq292	>tsa-GEDJ01018915.1 (REVERSE SENSE) TSA: Haliotis discus hannai Hal_contig_18972 transcribed RNA sequence-table1-Dicistroviridae-HMM2-125_97.0-ORF6
seq293	>tsa-GEDJ01055235.1 (REVERSE SENSE) TSA: Haliotis discus hannai Hal_contig_55351 transcribed RNA sequence-table1-Dicistroviridae-HMM1-102_99.0-ORF11
seq294	>tsa-GEQI01043111.1 TSA: Hyalellopsis setosa c81298_g4_i1 transcribed RNA sequence-table4-Dicistroviridae-HMM31-454_91.0-ORF13
seq295	>tsa-GEQI01065593.1 (REVERSE SENSE) TSA: Hyalellopsis setosa c92945_g2_i1 transcribed RNA sequence-table6-Dicistroviridae-HMM1262-1751_27.0-ORF117
seq296	>tsa-GAZH02010877.1 TSA: Inocellia crassicornis C132501_a_3_0_l_1517 transcribed RNA sequence-table1-Dicistroviridae-HMM100-504_80.0-ORF14
seq297	>tsa-GAZH02021030.1 (REVERSE SENSE) TSA: Inocellia crassicornis C80424_a_3_0_l_296 transcribed RNA sequence-table1-Dicistroviridae-HMM1-93_93.0-ORF6
seq298	>tsa-GCRV01011233.1 TSA: insect metagenome CL4191.Contig1_All transcribed RNA sequence-table1-Dicistroviridae-HMM1-77_98.0-ORF4
seq299	>tsa-GCRV01011234.1 TSA: insect metagenome CL4191.Contig2_All transcribed RNA sequence-table1-Dicistroviridae-HMM2-75_97.0-ORF2
seq300	>tsa-GANI01051653.1 TSA: Karelinia caspia comp234697_c0_seq1 transcribed RNA sequence-table1-Dicistroviridae-HMM40-264_82.0-ORF10
seq301	>tsa-GANL01009334.1 TSA: Latrodectus tredecimguttatus cDNA_915 transcribed RNA sequence-table1-Dicistroviridae-HMM1-196_97.0-ORF5
seq302	>tsa-GBTQ01004396.1 (REVERSE SENSE) TSA: Lestica clypeata C34399_a_4_0_l_435 transcribed RNA sequence-table1-Dicistroviridae-HMM3-144_97.0-ORF12
seq303	>tsa-GBTQ01004518.1 (REVERSE SENSE) TSA: Lestica clypeata C34864_a_5_0_l_447 transcribed RNA sequence-table1-Dicistroviridae-HMM6-144_92.0-ORF13
seq304	>tsa-GDRM01030897.1 (REVERSE SENSE) TSA: Limacina antarctica TR45313_c0_g1_i1 transcribed RNA sequence-table1-Dicistroviridae-HMM1-114_99.0-ORF9
seq305	>tsa-GDRM01032905.1 (REVERSE SENSE) TSA: Limacina antarctica TR86877_c1_g1_i1 transcribed RNA sequence-table1-Dicistroviridae-HMM1-109_99.0-ORF9
seq306	>tsa-GDRM01034029.1 (REVERSE SENSE) TSA: Limacina antarctica TR86877_c1_g3_i1 transcribed RNA sequence-table1-Dicistroviridae-HMM2-194_98.0-ORF19
seq307	>tsa-GDRM01034030.1 (REVERSE SENSE) TSA: Limacina antarctica TR86877_c1_g2_i1 transcribed RNA sequence-table1-Dicistroviridae-HMM2-194_98.0-ORF18
seq308	>tsa-GDRM01034521.1 (REVERSE SENSE) TSA: Limacina antarctica TR21146_c0_g2_i1 transcribed RNA sequence-table1-Dicistroviridae-HMM11-82_85.0-ORF7
