seq1	>ref-NC_002797.1 Discula destructiva virus 1 segment 1, complete genome-table6-Partitiviridae-HMM91-516_71.0-ORF20
seq168	>nrnt-AB569999 Rosellinia necatrix partitivirus 2 D-RdRp gene for defective RNA-dependent RNA polymerase, complete cds.-table4-Partitiviridae-HMM119-307_50.0-ORF12
seq169	>nrnt-AB698494 Rosellinia necatrix partitivirus 5 genomic RNA, segment: RNA 1, complete sequence.-table4-Partitiviridae-HMM206-572_55.0-ORF20
seq170	>nrnt-AB698493 Rosellinia necatrix partitivirus 4 genomic RNA, segment: RNA 1, complete sequence.-table6-Partitiviridae-HMM184-666_59.0-ORF19
seq171	>nrnt-JX658571 Grapevine partitivirus isolate 3138-01-3953 RNA dependent RNA polymerase (RdRp) gene, complete cds.-table6-Partitiviridae-HMM157-632_63.0-ORF21
seq172	>nrnt-JX658570 Grapevine partitivirus isolate 3138-03-561 RNA dependent RNA polymerase (RdRp) gene, complete cds.-table6-Partitiviridae-HMM97-523_75.0-ORF18
seq173	>nrnt-JX658569 Grapevine partitivirus isolate 3138-03-541 RNA dependent RNA polymerase (RdRp) gene, complete cds.-table6-Partitiviridae-HMM52-519_76.0-ORF14
seq174	>nrnt-JX658568 Grapevine cryptic virus isolate 3138-03-544 RNA dependent RNA polymerase (RdRp) gene, partial cds.-table6-Partitiviridae-HMM2-361_81.0-ORF12
seq175	>nrnt-HE579646 Uncultured partitivirus genomic RNA containing putative RdRp, contig 87Pv1_454_3.-table6-Partitiviridae-HMM95-520_75.0-ORF15
seq176	>nrnt-HE579565 Uncultured partitivirus genomic RNA containing putative RdRp, contig 117.2Hv3_454_3.-table6-Partitiviridae-HMM88-266_64.0-ORF8
seq177	>nrnt-HQ541330 Heterobasidion RNA virus 1 isolate HetRV1-oc1 putative RNA-dependent RNA polymerase gene, complete cds.-table6-Partitiviridae-HMM207-572_55.0-ORF14
seq178	>nrnt-HQ541329 Heterobasidion RNA virus 1 isolate HetRV1-pa1 putative RNA-dependent RNA polymerase gene, complete cds.-table6-Partitiviridae-HMM197-587_57.0-ORF14
seq179	>nrnt-HQ541326 Heterobasidion RNA virus 5 isolate HetRV5-pa1 putative RNA-dependent RNA polymerase gene, complete cds.-table6-Partitiviridae-HMM186-582_61.0-ORF14
seq180	>nrnt-HQ541325 Heterobasidion RNA virus 4 isolate HetRV4-pa1 putative RNA-dependent RNA polymerase gene, complete cds.-table6-Partitiviridae-HMM190-584_60.0-ORF14
seq181	>nrnt-HQ541323 Heterobasidion RNA virus 1 isolate HetRV1-ab1 putative RNA-dependent RNA polymerase gene, complete cds.-table4-Partitiviridae-HMM223-591_56.0-ORF11
seq182	>nrnt-DQ910762 Vicia faba partitivirus 1 segment dsRNA 3, complete sequence.-table6-Partitiviridae-HMM74-557_75.0-ORF20
seq183	>nrnt-AB465308 Flammulina velutipes browning virus RdRp gene for RNA-dependent RNA polymerase, complete cds.-table6-Partitiviridae-HMM72-541_77.0-ORF13
seq184	>nrnt-AB428575 Flammulina velutipes isometric virus RdRp gene for putative RNA-dependent RNA polymerase, complete cds.-table6-Partitiviridae-HMM82-544_72.0-ORF19
seq185	>nrnt-FJ816271 Heterobasidion RNA Virus 3 putative RNA-dependent RNA polymerase gene, complete cds.-table4-Partitiviridae-HMM94-551_72.0-ORF19
seq186	>nrnt-S63913 putative RNA-dependent RNA polymerase {double-stranded RNA2} [beet cryptic virus 3 BCV3, Genomic RNA, 1607 nt].-table6-Partitiviridae-HMM55-468_83.0-ORF16
seq187	>nrnt-AY308801 Oyster mushroom isometric virus II RNA-dependent RNA polymerase gene, complete cds.-table4-Partitiviridae-HMM226-605_56.0-ORF9
seq188	>nrnt-AF473549 Heterobasidion annosum P-type partitivirus putative RNA dependent RNA polymerase gene, complete cds.-table4-Partitiviridae-HMM444-649_26.0-ORF12
seq189	>nrnt-EU118277 Aspergillus ochraceous virus strain FA0611 putative RNA dependent RNA polymerase gene, complete cds.-table6-Partitiviridae-HMM92-519_74.0-ORF20
seq190	>nrnt-AM999771 Chondrostereum purpureum cryptic virus 1, segment RNA1.-table4-Partitiviridae-HMM74-540_74.0-ORF16
seq191	>nrnt-AB110980 Helicobasidium mompa partitivirus V1-2 RDRP gene for RNA-dependent RNA polymerase, complete cds.-table4-Partitiviridae-HMM66-505_74.0-ORF16
seq192	>nrnt-AB110979 Helicobasidium mompa partitivirus V1-1 RDRP gene for RNA-dependent RNA polymerase, complete cds.-table4-Partitiviridae-HMM161-635_63.0-ORF23
seq193	>nrnt-AM087202 Ophiostoma partitivirus 1 RdRp gene for RNA-dependent RNA polymerase.-table6-Partitiviridae-HMM93-521_73.0-ORF22
seq194	>nrnt-AB025903 Helicobasidium mompa dsRNA mycovirus gene for RNA-dependent RNA polymerase, complete cds.-table6-Partitiviridae-HMM75-542_74.0-ORF20
seq195	>nrnt-KX884242 Beihai partiti-like virus 10 strain YYSZX26933 RdRp gene, complete cds.-table4-Partitiviridae-HMM129-299_38.0-ORF16
seq196	>nrnt-KX884241 Beihai partiti-like virus 4 strain YYSZX180 RdRp gene, complete cds.-table6-Partitiviridae-HMM124-403_62.0-ORF15
seq197	>nrnt-KX884240 Beihai partiti-like virus 5 strain YYSZX17448 RdRp gene, complete cds.-table6-Partitiviridae-HMM129-370_54.0-ORF18
seq198	>nrnt-KX884235 Wenling partiti-like virus 1 strain WLJQ97111 RdRp gene, complete cds.-table4-Partitiviridae-HMM171-470_52.0-ORF21
seq199	>nrnt-KX884233 Wenling partiti-like virus 5 strain WLJQ59225 RdRp gene, complete cds.-table4-Partitiviridae-HMM123-235_25.0-ORF13
seq200	>nrnt-KX884230 Wenling partiti-like virus 3 strain WLJQ124021 RdRp gene, complete cds.-table6-Partitiviridae-HMM28-425_83.0-ORF12
seq201	>nrnt-KX884228 Wenling partiti-like virus 4 strain WLJQ103127 RdRp gene, complete cds.-table6-Partitiviridae-HMM115-394_61.0-ORF13
seq202	>nrnt-KX884227 Wenling partiti-like virus 2 strain WLJQ102434 RdRp gene, complete cds.-table6-Partitiviridae-HMM28-424_82.0-ORF16
seq203	>nrnt-KX884218 Hubei partiti-like virus 35 strain WHYY30311 RdRp gene, complete cds.-table6-Partitiviridae-HMM35-432_81.0-ORF14
seq204	>nrnt-KX884217 Wuhan house centipede virus 8 strain WHYY33011 RdRp gene, complete cds.-table6-Partitiviridae-HMM32-432_82.0-ORF11
seq205	>nrnt-KX884216 Wuhan house centipede virus 7 strain WHYY9725 RdRp gene, complete cds.-table6-Partitiviridae-HMM50-448_80.0-ORF16
seq206	>nrnt-KX884215 Hubei partiti-like virus 45 strain WHYY15874 RdRp gene, complete cds.-table4-Partitiviridae-HMM40-432_82.0-ORF13
seq207	>nrnt-KX884214 Hubei partiti-like virus 24 strain WHYY17134 RdRp gene, partial cds.-table6-Partitiviridae-HMM177-652_71.0-ORF25
seq208	>nrnt-KX884207 Hubei partiti-like virus 34 strain WHWN68514 RdRp gene, complete cds.-table6-Partitiviridae-HMM41-429_80.0-ORF15
seq209	>nrnt-KX884206 Hubei partiti-like virus 51 strain WHWN52466 RdRp gene, complete cds.-table4-Partitiviridae-HMM131-334_46.0-ORF17
seq210	>nrnt-KX884198 Hubei partiti-like virus 43 strain WHLC8707 RdRp gene, complete cds.-table6-Partitiviridae-HMM34-431_82.0-ORF16
seq211	>nrnt-KX884195 Hubei partiti-like virus 40 strain WHCCII13098 RdRp gene, complete cds.-table6-Partitiviridae-HMM47-443_77.0-ORF14
seq212	>nrnt-KX884193 Hubei partiti-like virus 9 strain WHCC72771 RdRp gene, complete cds.-table4-Partitiviridae-HMM154-458_53.0-ORF25
seq213	>nrnt-KX884192 Hubei partiti-like virus 8 strain WHCC37315 RdRp gene, partial cds.-table1-Partitiviridae-HMM159-451_59.0-ORF15
seq214	>nrnt-KX884191 Hubei partiti-like virus 1 strain WHCC258759 RdRp gene, complete cds.-table6-Partitiviridae-HMM153-452_52.0-ORF14
seq215	>nrnt-KX884186 Hubei partiti-like virus 16 strain WGML112875 RdRp gene, complete cds.-table4-Partitiviridae-HMM150-436_52.0-ORF21
seq216	>nrnt-KX884184 Hubei partiti-like virus 55 strain SZmix21556 RdRp gene, partial cds.-table4-Partitiviridae-HMM223-475_44.0-ORF26
seq217	>nrnt-KX884183 Hubei partiti-like virus 54 strain SZmix20834 RdRp gene, complete cds.-table6-Partitiviridae-HMM236-475_42.0-ORF21
seq218	>nrnt-KX884182 Hubei partiti-like virus 53 strain SZmix20674 RdRp gene, complete cds.-table6-Partitiviridae-HMM328-466_25.0-ORF19
seq219	>nrnt-KX884179 Sanxia partiti-like virus 1 strain SXSSP515 RdRp gene, complete cds.-table6-Partitiviridae-HMM112-402_62.0-ORF16
seq220	>nrnt-KX884178 Sanxia water strider virus 18 strain SXSSP2538 RdRp gene, complete cds.-table6-Partitiviridae-HMM42-442_82.0-ORF15
seq221	>nrnt-KX884177 Hubei partiti-like virus 3 strain SSZZ4709 RdRp gene, complete cds.-table6-Partitiviridae-HMM172-461_49.0-ORF20
seq222	>nrnt-KX884169 Hubei partiti-like virus 50 strain spider58532 RdRp gene, complete cds.-table6-Partitiviridae-HMM108-320_47.0-ORF10
seq223	>nrnt-KX884167 Hubei partiti-like virus 15 strain spider135364 RdRp gene, partial cds.-table4-Partitiviridae-HMM154-447_62.0-ORF20
seq224	>nrnt-KX884166 Hubei partiti-like virus 42 strain spider134492 RdRp gene, complete cds.-table6-Partitiviridae-HMM31-431_81.0-ORF17
seq225	>nrnt-KX884165 Hubei partiti-like virus 52 strain spider134151 RdRp gene, complete cds.-table4-Partitiviridae-HMM121-329_46.0-ORF17
seq226	>nrnt-KX884164 Wuhan spider virus 10 strain spider133290 RdRp gene, complete cds.-table6-Partitiviridae-HMM146-319_36.0-ORF15
seq227	>nrnt-KX884163 Hubei partiti-like virus 14 strain spider132884 RdRp gene, complete cds.-table6-Partitiviridae-HMM157-445_50.0-ORF15
seq228	>nrnt-KX884162 Hubei partiti-like virus 31 strain spider131862 RdRp gene, complete cds.-table6-Partitiviridae-HMM29-433_84.0-ORF14
seq229	>nrnt-KX884161 Hubei partiti-like virus 6 strain spider131688 RdRp gene, complete cds.-table6-Partitiviridae-HMM160-461_50.0-ORF18
seq230	>nrnt-KX884160 Hubei partiti-like virus 13 strain spider122140 RdRp gene, complete cds.-table4-Partitiviridae-HMM48-464_71.0-ORF23
seq231	>nrnt-KX884159 Hubei partiti-like virus 49 strain spider118314 RdRp gene, complete cds.-table6-Partitiviridae-HMM111-409_64.0-ORF16
seq232	>nrnt-KX884158 Hubei partiti-like virus 28 strain spider113121 RdRp gene, complete cds.-table6-Partitiviridae-HMM50-454_86.0-ORF17
seq233	>nrnt-KX884152 Hubei partiti-like virus 18 strain SCM50556 RdRp gene, complete cds.-table6-Partitiviridae-HMM174-490_55.0-ORF17
seq234	>nrnt-KX884148 Hubei partiti-like virus 38 strain SCM245982 RdRp gene, complete cds.-table4-Partitiviridae-HMM35-435_82.0-ORF17
seq235	>nrnt-KX884147 Hubei partiti-like virus 19 strain SCM172380 RdRp gene, complete cds.-table6-Partitiviridae-HMM184-500_55.0-ORF19
seq236	>nrnt-KX884144 Hubei partiti-like virus 12 strain QTM77172 RdRp gene, complete cds.-table6-Partitiviridae-HMM75-479_66.0-ORF14
seq237	>nrnt-KX884143 Hubei partiti-like virus 17 strain QTM75790 RdRp gene, complete cds.-table6-Partitiviridae-HMM202-507_51.0-ORF19
seq238	>nrnt-KX884141 Hubei odonate virus 13 strain QTM74844 RdRp gene, complete cds.-table6-Partitiviridae-HMM157-447_57.0-ORF21
seq239	>nrnt-KX884140 Hubei partiti-like virus 20 strain QTM74833 RdRp gene, complete cds.-table6-Partitiviridae-HMM190-477_51.0-ORF20
seq240	>nrnt-KX884139 Hubei partiti-like virus 5 strain QTM47485 RdRp gene, complete cds.-table6-Partitiviridae-HMM175-484_51.0-ORF15
seq241	>nrnt-KX884137 Hubei partiti-like virus 47 strain QTM46465 RdRp gene, complete cds.-table6-Partitiviridae-HMM112-379_53.0-ORF18
seq242	>nrnt-KX884136 Hubei partiti-like virus 36 strain QTM3514 RdRp gene, complete cds.-table6-Partitiviridae-HMM31-437_81.0-ORF16
seq243	>nrnt-KX884135 Hubei partiti-like virus 44 strain QTM29853 RdRp gene, complete cds.-table6-Partitiviridae-HMM40-431_79.0-ORF16
seq244	>nrnt-KX884134 Hubei partiti-like virus 21 strain QTM27155 RdRp gene, partial cds.-table1-Partitiviridae-HMM203-507_56.0-ORF18
seq245	>nrnt-KX884133 Hubei partiti-like virus 26 strain QTM27118 RdRp gene, complete cds.-table6-Partitiviridae-HMM65-524_78.0-ORF15
seq246	>nrnt-KX884132 Hubei diptera virus 19 strain QTM27098 RdRp gene, complete cds.-table6-Partitiviridae-HMM37-430_81.0-ORF15
seq247	>nrnt-KX884131 Hubei partiti-like virus 29 strain QTM26744 RdRp gene, complete cds.-table6-Partitiviridae-HMM38-442_82.0-ORF14
seq248	>nrnt-KX884130 Hubei partiti-like virus 46 strain QTM26281 RdRp gene, complete cds.-table6-Partitiviridae-HMM20-427_84.0-ORF13
seq249	>nrnt-KX884129 Hubei partiti-like virus 56 strain QTM26145 RdRp gene, complete cds.-table6-Partitiviridae-HMM78-493_75.0-ORF19
seq250	>nrnt-KX884128 Hubei partiti-like virus 27 strain QTM26091 RdRp gene, partial cds.-table1-Partitiviridae-HMM47-509_81.0-ORF18
seq251	>nrnt-KX884125 Hubei partiti-like virus 41 strain QTM24887 RdRp gene, complete cds.-table6-Partitiviridae-HMM37-439_82.0-ORF20
seq252	>nrnt-KX884120 Hubei partiti-like virus 39 strain QTM24152 RdRp gene, complete cds.-table6-Partitiviridae-HMM48-446_77.0-ORF18
seq253	>nrnt-KX884119 Hubei partiti-like virus 23 strain QTM24142 RdRp gene, complete cds.-table6-Partitiviridae-HMM160-642_62.0-ORF21
seq254	>nrnt-KX884118 Hubei partiti-like virus 37 strain QTM23479 RdRp gene, complete cds.-table6-Partitiviridae-HMM37-433_81.0-ORF16
seq255	>nrnt-KX884117 Hubei partiti-like virus 7 strain QTM23269 RdRp gene, complete cds.-table6-Partitiviridae-HMM182-465_48.0-ORF14
seq256	>nrnt-KX884116 Hubei partiti-like virus 57 strain QTM22037 RdRp gene, complete cds.-table4-Partitiviridae-HMM64-451_73.0-ORF24
seq257	>nrnt-KX884115 Hubei partiti-like virus 25 strain QTM20591 RdRp gene, complete cds.-table6-Partitiviridae-HMM56-514_79.0-ORF17
seq258	>nrnt-KX884114 Hubei partiti-like virus 10 strain QTM133141 RdRp gene, complete cds.-table4-Partitiviridae-HMM158-463_56.0-ORF19
seq259	>nrnt-KX884111 Hubei partiti-like virus 4 strain QCM950973 RdRp gene, complete cds.-table6-Partitiviridae-HMM58-455_64.0-ORF25
seq260	>nrnt-KX884110 Hubei partiti-like virus 58 strain QCM38725 RdRp gene, complete cds.-table6-Partitiviridae-HMM68-480_80.0-ORF17
seq261	>nrnt-KX884109 Hubei partiti-like virus 33 strain QCM951148 RdRp gene, complete cds.-table6-Partitiviridae-HMM130-441_62.0-ORF16
seq262	>nrnt-KX884108 Hubei coleoptera virus 6 strain QCM143720 RdRp gene, complete cds.-table6-Partitiviridae-HMM141-317_40.0-ORF18
seq263	>nrnt-KX884107 Hubei coleoptera virus 4 strain QCM136227 RdRp gene, complete cds.-table6-Partitiviridae-HMM142-312_37.0-ORF12
seq264	>nrnt-KX884106 Hubei coleoptera virus 5 strain QCM105830 RdRp gene, complete cds.-table4-Partitiviridae-HMM107-325_49.0-ORF17
seq265	>nrnt-KX884105 Hubei partiti-like virus 48 strain QCM147194 RdRp gene, complete cds.-table6-Partitiviridae-HMM121-414_62.0-ORF17
seq266	>nrnt-KX884104 Hubei partiti-like virus 22 strain mosZJ34436 RdRp gene, complete cds.-table6-Partitiviridae-HMM204-514_53.0-ORF20
seq267	>nrnt-KX884100 Shuangao partiti-like virus 1 strain insectZJ79891 RdRp gene, complete cds.-table6-Partitiviridae-HMM34-436_82.0-ORF18
seq268	>nrnt-KX884090 Wuhan fly virus 6 strain fly116610 RdRp gene, complete cds.-table6-Partitiviridae-HMM35-436_83.0-ORF17
seq269	>nrnt-KX884088 Changjiang partiti-like virus 1 strain CJLX57436 RdRp gene, partial cds.-table6-Partitiviridae-HMM93-468_79.0-ORF12
seq270	>nrnt-KX884087 Wuhan insect virus 25 strain CC64706 RdRp gene, complete cds.-table6-Partitiviridae-HMM29-434_81.0-ORF15
seq271	>nrnt-KX884086 Wuhan insect virus 24 strain CC64001 RdRp gene, complete cds.-table4-Partitiviridae-HMM34-438_84.0-ORF16
seq272	>nrnt-KX884074 Beihai partiti-like virus 11 strain BHWZXX14306 RdRp gene, complete cds.-table6-Partitiviridae-HMM187-480_53.0-ORF15
seq273	>nrnt-KX884072 Beihai partiti-like virus 1 strain BHTSS8738 RdRp gene, complete cds.-table6-Partitiviridae-HMM162-455_52.0-ORF13
seq274	>nrnt-KX884071 Beihai barnacle virus 14 strain BHTH35712 hypothetical protein and RdRp genes, complete cds.-table4-Partitiviridae-HMM447-561_11.0-ORF39
seq275	>nrnt-KX884055 Beihai partiti-like virus 3 strain BHHK112924 RdRp gene, complete cds.-table6-Partitiviridae-HMM121-400_62.0-ORF14
seq276	>nrnt-KX884045 Hubei partiti-like virus 2 strain arthropodmix12819 RdRp gene, complete cds.-table6-Partitiviridae-HMM155-458_50.0-ORF21
seq277	>nrnt-MF344586 Araticum virus strain BR/MT-M05 RNA-dependent RNA polymerase protein (RdRp) gene, partial cds.-table1-Partitiviridae-HMM9-408_88.0-ORF12
seq278	>nrnt-MF344585 Angico virus strain BR/MT-M06 RNA-dependent RNA polymerase protein (RdRp) gene, partial cds.-table1-Partitiviridae-HMM87-372_74.0-ORF15
seq279	>nrnt-MF327577 Giant panda associated partiti-like virus strain gppc1509, complete genome.-table6-Partitiviridae-HMM222-440_49.0-ORF15
seq280	>nrnt-KT601106 Penicillium janczewskii Beauveria bassiana-like virus 1 33 kDa protein and 67 kDa protein genes, complete cds.-table4-Partitiviridae-HMM360-609_35.0-ORF32
seq281	>nrnt-HG005156 Black grass cryptic virus 1 segment RNA 1.-table6-Partitiviridae-HMM206-590_58.0-ORF20
seq282	>nrnt-KF298269 Uncultured virus isolate acc_7.4 RNA-dependent RNA polymerase-like protein gene, complete cds.-table6-Partitiviridae-HMM45-443_79.0-ORF15
seq283	>nrnt-KX884059 Beihai picobirna-like virus 4 strain BHJJX24179 RdRp gene, complete cds.-table4-Partitiviridae-HMM259-457_32.0-ORF27
seq284	>tsa-GCZN01074747.1 (REVERSE SENSE) TSA: Abies pinsapo Unigene40340_All transcribed RNA sequence-table6-Partitiviridae-HMM95-501_72.0-ORF49
seq285	>tsa-GAZS01104057.1 (REVERSE SENSE) TSA: Acanthoscurria geniculata L72073_T1/1_Turantula_WB transcribed RNA sequence-table1-Partitiviridae-HMM4-76_93.0-ORF8
seq286	>tsa-GAUV02020526.1 (REVERSE SENSE) TSA: Acanthosoma haemorrhoidale C88822_a_29_0_l_1404 transcribed RNA sequence-table6-Partitiviridae-HMM35-433_89.0-ORF35
seq287	>tsa-GAUV02020801.1 TSA: Acanthosoma haemorrhoidale C89594_a_30_0_l_1492 transcribed RNA sequence-table6-Partitiviridae-HMM31-436_81.0-ORF21
seq288	>tsa-GAUV02021233.1 (REVERSE SENSE) TSA: Acanthosoma haemorrhoidale C90802_a_25_0_l_1659 transcribed RNA sequence-table6-Partitiviridae-HMM198-490_52.0-ORF43
seq289	>tsa-GENY01042035.1 (REVERSE SENSE) TSA: Agathiphaga queenslandensis TR60990-c0_g3_i1 transcribed RNA sequence-table1-Partitiviridae-HMM8-266_91.0-ORF23
seq290	>tsa-GATW02012712.1 TSA: Aleochara curtula C61505_a_26_0_l_1433 transcribed RNA sequence-table1-Partitiviridae-HMM46-447_84.0-ORF16
seq291	>tsa-GAAO01015175.1 TSA: Allium cepa isotig15073 mRNA sequence-table6-Partitiviridae-HMM158-471_60.0-ORF14
seq292	>tsa-GBJZ01114530.1 TSA: Allium cepa Contig118233 transcribed RNA sequence-table6-Partitiviridae-HMM154-467_60.0-ORF15
seq293	>tsa-GBJZ01114531.1 TSA: Allium cepa Contig118234 transcribed RNA sequence-table6-Partitiviridae-HMM64-466_75.0-ORF12
seq294	>tsa-GBJZ01114532.1 TSA: Allium cepa Contig118235 transcribed RNA sequence-table6-Partitiviridae-HMM80-481_68.0-ORF12
seq295	>tsa-GBJZ01114533.1 TSA: Allium cepa Contig118236 transcribed RNA sequence-table6-Partitiviridae-HMM80-482_75.0-ORF16
seq296	>tsa-GEOY01087251.1 TSA: Allium cepa c104716_g1 transcribed RNA sequence-table1-Partitiviridae-HMM3-125_86.0-ORF5
seq297	>tsa-GEOY01093089.1 TSA: Allium cepa c82721_g1 transcribed RNA sequence-table1-Partitiviridae-HMM2-107_92.0-ORF4
seq298	>tsa-GEOY01103656.1 TSA: Allium cepa c115331_g1 transcribed RNA sequence-table1-Partitiviridae-HMM48-245_78.0-ORF6
seq299	>tsa-GETF01016993.1 TSA: Allium cepa m.76650 transcribed RNA sequence-table1-Partitiviridae-HMM3-170_94.0-ORF5
seq300	>tsa-GETF01033505.1 TSA: Allium cepa m.9651 transcribed RNA sequence-table6-Partitiviridae-HMM154-467_62.0-ORF15
seq301	>tsa-GFAK01056657.1 TSA: Allium cepa var. aggregatum c57052_g1 transcribed RNA sequence-table1-Partitiviridae-HMM3-91_95.0-ORF4
seq302	>tsa-GFAL01094999.1 TSA: Allium chinense c91814_g2 transcribed RNA sequence-table6-Partitiviridae-HMM11-299_94.0-ORF16
seq303	>tsa-GFAM01042681.1 TSA: Allium fistulosum c5452_g1 transcribed RNA sequence-table4-Partitiviridae-HMM73-485_81.0-ORF16
seq304	>tsa-GBUA01009005.1 TSA: Alysson spinosus C132663_a_10_0_l_864 transcribed RNA sequence-table6-Partitiviridae-HMM1-154_53.0-ORF8
seq305	>tsa-GBUA01009378.1 TSA: Alysson spinosus C134475_a_7_0_l_940 transcribed RNA sequence-table6-Partitiviridae-HMM143-313_54.0-ORF9
seq306	>tsa-GBUA01011928.1 TSA: Alysson spinosus C149998_a_30_0_l_2337 transcribed RNA sequence-table6-Partitiviridae-HMM157-634_61.0-ORF19
seq307	>tsa-GAPX01020103.1 TSA: Amaranthus tricolor a50785;17 transcribed RNA sequence-table6-Partitiviridae-HMM70-485_82.0-ORF11
seq308	>tsa-GAPY01007228.1 TSA: Amaranthus tricolor a11173;93 transcribed RNA sequence-table6-Partitiviridae-HMM73-488_78.0-ORF12
seq309	>tsa-GAPZ01012686.1 TSA: Amaranthus tricolor a21673;44 transcribed RNA sequence-table6-Partitiviridae-HMM72-487_78.0-ORF12
seq310	>tsa-GEZL01167364.1 TSA: Ambrosia artemisiifolia TR53495_c0_g1_i1 transcribed RNA sequence-table1-Partitiviridae-HMM1-97_96.0-ORF4
seq311	>tsa-HAAJ01000370.1 TSA: Ambrosia artemisiifolia, contig isotig02239, transcribed RNA sequence-table4-Partitiviridae-HMM27-343_89.0-ORF14
seq312	>tsa-GEOH01022983.1 (REVERSE SENSE) TSA: Ambrosia trifida comp89027_c0_seq1 transcribed RNA sequence-table6-Partitiviridae-HMM74-491_77.0-ORF43
seq313	>tsa-GEOH01023028.1 (REVERSE SENSE) TSA: Ambrosia trifida comp89406_c0_seq1 transcribed RNA sequence-table6-Partitiviridae-HMM79-578_75.0-ORF43
seq314	>tsa-GBNT01014231.1 (REVERSE SENSE) TSA: Ampulex compressa C58870_a_4_0_l_849 transcribed RNA sequence-table6-Partitiviridae-HMM1-122_70.0-ORF22
seq315	>tsa-GFCP01019871.1 TSA: Ampulex compressa comp33569_c0_seq2 transcribed RNA sequence-table6-Partitiviridae-HMM1-122_70.0-ORF23
seq316	>tsa-GATX01042275.1 (REVERSE SENSE) TSA: Annulipalpia sp. AD-2013 C268199 transcribed RNA sequence-table1-Partitiviridae-HMM1-76_92.0-ORF5
seq317	>tsa-GDKS01001412.1 (REVERSE SENSE) TSA: Anopheles sinensis kangxing_G9VUHJM02G6Y3F transcribed RNA sequence-table4-Partitiviridae-HMM2-115_91.0-ORF13
seq318	>tsa-GDKS01032887.1 (REVERSE SENSE) TSA: Anopheles sinensis mingan_isotig04181 transcribed RNA sequence-table4-Partitiviridae-HMM2-117_68.0-ORF19
seq319	>tsa-GAJV01002375.1 TSA: Anoplocnemis curvipes Anop_trimmed_contig_2407 transcribed RNA sequence-table1-Partitiviridae-HMM22-334_93.0-ORF13
seq320	>tsa-GBIE01017329.1 TSA: Anthoxanthum odoratum UN17783 transcribed RNA sequence-table6-Partitiviridae-HMM91-494_73.0-ORF20
seq321	>tsa-GFLW01056695.1 (REVERSE SENSE) TSA: Aphidius ervi TR24614-c0_g2_i1 transcribed RNA sequence-table1-Partitiviridae-HMM2-75_94.0-ORF5
seq322	>tsa-GFLW01124611.1 (REVERSE SENSE) TSA: Aphidius ervi TR51759-c0_g1_i1 transcribed RNA sequence-table6-Partitiviridae-HMM55-316_82.0-ORF20
seq323	>tsa-GFLW01124612.1 (REVERSE SENSE) TSA: Aphidius ervi TR51759-c0_g2_i1 transcribed RNA sequence-table6-Partitiviridae-HMM55-515_73.0-ORF40
seq324	>tsa-GAER01003674.1 TSA: Arachis hypogaea Unigene3676 mRNA sequence-table1-Partitiviridae-HMM2-84_97.0-ORF3
seq325	>tsa-GAER01028913.1 (REVERSE SENSE) TSA: Arachis hypogaea Unigene28931 mRNA sequence-table6-Partitiviridae-HMM114-506_68.0-ORF43
seq326	>tsa-GAER01050779.1 TSA: Arachis hypogaea Unigene50817 mRNA sequence-table1-Partitiviridae-HMM1-96_80.0-ORF5
seq327	>tsa-GAWC01133358.1 TSA: Aretaon asperrimus comp1521844_c0_seq1 transcribed RNA sequence-table1-Partitiviridae-HMM12-88_85.0-ORF3
seq328	>tsa-GAXO01029775.1 TSA: Argochrysis armilla comp12678_c0_seq1 transcribed RNA sequence-table6-Partitiviridae-HMM188-493_53.0-ORF17
seq329	>tsa-GEFZ01032725.1 TSA: Atractylodes lancea Contig73539_C5-2-6-S-a transcribed RNA sequence-table1-Partitiviridae-HMM1-87_47.0-ORF7
seq330	>tsa-GEFZ01033096.1 TSA: Atractylodes lancea Contig74360_C5-2-6-S-a transcribed RNA sequence-table1-Partitiviridae-HMM5-68_92.0-ORF4
seq331	>tsa-GFOA01014940.1 TSA: Bactrocera bryoniae TR9550_c0_g1_i1 transcribed RNA sequence-table6-Partitiviridae-HMM50-451_79.0-ORF19
seq332	>tsa-GFOA01019535.1 (REVERSE SENSE) TSA: Bactrocera bryoniae TR11806_c0_g1_i1 transcribed RNA sequence-table6-Partitiviridae-HMM158-459_53.0-ORF48
seq333	>tsa-GFOA01027356.1 (REVERSE SENSE) TSA: Bactrocera bryoniae TR14680_c0_g1_i1 transcribed RNA sequence-table6-Partitiviridae-HMM187-466_47.0-ORF42
seq334	>tsa-GDRP01010415.1 TSA: Bactrocera dorsalis Unigene16019 transcribed RNA sequence-table6-Partitiviridae-HMM82-393_67.0-ORF16
seq335	>tsa-GEEA01018826.1 (REVERSE SENSE) TSA: Bactrocera dorsalis comp57545_c0_seq1 transcribed RNA sequence-table6-Partitiviridae-HMM82-488_71.0-ORF32
seq336	>tsa-GEYS01013709.1 TSA: Bactrocera dorsalis Unigene6288_All transcribed RNA sequence-table1-Partitiviridae-HMM1-76_93.0-ORF2
seq337	>tsa-GEYS01014245.1 TSA: Bactrocera dorsalis Unigene6824_All transcribed RNA sequence-table6-Partitiviridae-HMM82-393_67.0-ORF16
seq338	>tsa-GFNX01007865.1 TSA: Bactrocera frauenfeldi TR5490_c0_g1_i1 transcribed RNA sequence-table6-Partitiviridae-HMM81-483_71.0-ORF16
