seq1	>ref-NC_004049.1 Ophiostoma mitovirus 3a, complete genome-table4-Narnaviridae-HMM157-525_50.0-ORF27
seq162	>nrnt-KJ819546 (REVERSE SENSE) Cytospora ribis mitovirus 1 RNA-dependent RNA polymerase (RdRp) gene, partial cds.-table4-Narnaviridae-HMM1-229_52.0-ORF50
seq163	>nrnt-KJ819543 Valsa malicola mitovirus 1 RNA-dependent RNA polymerase (RdRp) gene, partial cds.-table4-Narnaviridae-HMM112-335_66.0-ORF16
seq164	>nrnt-KF803548 Fusarium circinatum mitovirus 2-2 RNA-dependent RNA polymerase gene, partial cds.-table4-Narnaviridae-HMM132-508_62.0-ORF22
seq165	>nrnt-KF803547 Fusarium circinatum mitovirus 2-1 RNA-dependent RNA polymerase gene, complete cds.-table4-Narnaviridae-HMM131-506_51.0-ORF20
seq166	>nrnt-KF803546 Fusarium circinatum mitovirus 1 RNA-dependent RNA polymerase gene, complete cds.-table4-Narnaviridae-HMM136-506_50.0-ORF19
seq167	>nrnt-KJ485703 Buergenerula spartinae mitovirus 1 strain YDC07 RNA-dependent RNA polymerase gene, complete cds.-table4-Narnaviridae-HMM199-555_43.0-ORF35
seq168	>nrnt-KF298270 Mitovirus AEF-2013 isolate acc_7.5 RNA-dependent RNA polymerase-like protein gene, complete cds.-table4-Narnaviridae-HMM152-493_50.0-ORF28
seq169	>nrnt-AB558120 Rhizophagus sp. RF1 mitovirus genomic RNA, complete genome.-table6-Narnaviridae-HMM241-557_34.0-ORF25
seq170	>nrnt-AB855794 Rhizophagus sp. HR1 mitovirus-like ssRNA putative RNA-dependent RNA polymerase gene, complete cds.-table6-Narnaviridae-HMM225-550_34.0-ORF38
seq171	>nrnt-KF031943 Ophiostoma mitovirus 7 strain 93-1224 RNA-dependent RNA polymerase gene, complete cds.-table4-Narnaviridae-HMM222-558_46.0-ORF22
seq172	>nrnt-KF026355 Ophiostoma mitovirus 1c strain 93-1224 RNA-dependent RNA polymerase gene, complete cds.-table4-Narnaviridae-HMM234-509_34.0-ORF36
seq173	>nrnt-JN654496 Gremmeniella abietina non-host-specific mitochondrial RNA virus S1 RNA-dependent RNA polymerase gene, complete cds.-table4-Narnaviridae-HMM142-505_51.0-ORF23
seq174	>nrnt-JN222389 Tuber excavatum mitovirus isolate Lammspringe RNA-dependent RNA polymerase gene, complete cds.-table4-Narnaviridae-HMM197-558_43.0-ORF40
seq175	>nrnt-EF583556 Botrytis cinerea mitovirus 1 S isolate CanBc-1c-78 RNA-dependent RNA polymerase (RdRp) gene, complete cds.-table4-Narnaviridae-HMM228-365_25.0-ORF22
seq176	>nrnt-AY328479 Cryphonectria cubensis mitovirus 2a RNA-dependent RNA polymerase gene, complete cds.-table4-Narnaviridae-HMM66-439_57.0-ORF29
seq177	>nrnt-AY328477 Cryphonectria cubensis mitovirus 1b RNA-dependent RNA polymerase gene, complete cds.-table4-Narnaviridae-HMM220-533_41.0-ORF29
seq178	>nrnt-AB110977 Helicobasidium mompa mitovirus 1-18 RDRP gene for RNA-dependent RNA polymerase, complete cds.-table4-Narnaviridae-HMM188-510_45.0-ORF28
seq179	>nrnt-AM087549 Ophiostoma mitovirus 1b RdRp gene for RNA-dependent RNA polymerase, genomic RNA.-table1-Narnaviridae-HMM1-110_69.0-ORF21
seq180	>nrnt-AM087548 Ophiostoma mitovirus 1a RdRp gene for RNA-dependent RNA polymerase, genomic RNA.-table1-Narnaviridae-HMM2-100_28.0-ORF30
seq181	>nrnt-AP014913 Diatom colony associated ssRNA virus 2 genomic RNA, complete genome.-table4-Narnaviridae-HMM390-557_14.0-ORF58
seq182	>nrnt-KJ636843 (REVERSE SENSE) Leucostoma cinctum mitovirus 1 RNA-dependent RNA polymerase (RdRp) gene, partial cds.-table4-Narnaviridae-HMM155-344_54.0-ORF30
seq183	>tsa-GBYE01015077.1 TSA: Acacia koa 48947k67 transcribed RNA sequence-table6-Narnaviridae-HMM396-493_15.0-ORF28
seq184	>tsa-GBYE01018951.1 (REVERSE SENSE) TSA: Acacia koa 70641k58 transcribed RNA sequence-table6-Narnaviridae-HMM17-88_47.0-ORF16
seq185	>tsa-GBYE01027735.1 (REVERSE SENSE) TSA: Acacia koa 142951k37 transcribed RNA sequence-table6-Narnaviridae-HMM121-178_29.0-ORF35
seq186	>tsa-GBYE01032311.1 (REVERSE SENSE) TSA: Acacia koa 298618k11 transcribed RNA sequence-table4-Narnaviridae-HMM43-164_67.0-ORF24
seq187	>tsa-GBYE01061598.1 (REVERSE SENSE) TSA: Acacia koa 799985k4 transcribed RNA sequence-table1-Narnaviridae-HMM1-71_72.0-ORF6
seq188	>tsa-GBYE01079453.1 (REVERSE SENSE) TSA: Acacia koa 638601k5 transcribed RNA sequence-table1-Narnaviridae-HMM4-76_92.0-ORF5
seq189	>tsa-GEEI01006199.1 TSA: Acrostichum aureum Aau_c32314_g1_i2 transcribed RNA sequence-table6-Narnaviridae-HMM52-136_57.0-ORF9
seq190	>tsa-GDQO01043496.1 TSA: Aethionema carneum car2185_c0_seq1_6257 transcribed RNA sequence-table6-Narnaviridae-HMM14-110_35.0-ORF15
seq191	>tsa-GDRI01004264.1 (REVERSE SENSE) TSA: Aethionema grandiflorum grandi_BreakPoint_2961683 transcribed RNA sequence-table6-Narnaviridae-HMM14-110_35.0-ORF70
seq192	>tsa-GDRI01004265.1 (REVERSE SENSE) TSA: Aethionema grandiflorum grandi_BreakPoint_2967456 transcribed RNA sequence-table6-Narnaviridae-HMM14-110_35.0-ORF67
seq193	>tsa-GBHM01009287.1 (REVERSE SENSE) TSA: Agave americana Aam021482 transcribed RNA sequence-table6-Narnaviridae-HMM77-147_36.0-ORF59
seq194	>tsa-GBHM01053634.1 (REVERSE SENSE) TSA: Agave americana Aam317788 transcribed RNA sequence-table6-Narnaviridae-HMM20-89_51.0-ORF58
seq195	>tsa-GAHT01015439.1 (REVERSE SENSE) TSA: Agave deserti Locus9551v1rpkm30.64 transcribed RNA sequence-table6-Narnaviridae-HMM3-72_59.0-ORF39
seq196	>tsa-GAHT01015442.1 (REVERSE SENSE) TSA: Agave deserti Locus9551v4rpkm0.21_PRE transcribed RNA sequence-table6-Narnaviridae-HMM77-147_36.0-ORF80
seq197	>tsa-GAHT01015443.1 TSA: Agave deserti Locus9551v5rpkm0.16_PRE transcribed RNA sequence-table6-Narnaviridae-HMM77-147_36.0-ORF32
seq198	>tsa-GAHU01050228.1 (REVERSE SENSE) TSA: Agave tequilana Locus24013v2rpkm8.73 transcribed RNA sequence-table6-Narnaviridae-HMM77-147_36.0-ORF118
seq199	>tsa-GAHU01050248.1 TSA: Agave tequilana Locus24013v23rpkm0.13_PRE transcribed RNA sequence-table6-Narnaviridae-HMM77-147_36.0-ORF34
seq200	>tsa-GAHU01194346.1 TSA: Agave tequilana Locus209005v1rpkm0.11 transcribed RNA sequence-table1-Narnaviridae-HMM2-89_94.0-ORF3
seq201	>tsa-GFQK01014503.1 (REVERSE SENSE) TSA: Agrostis stolonifera c134338_g1 transcribed RNA sequence-table1-Narnaviridae-HMM305-564_34.0-ORF60
seq202	>tsa-GFQK01035594.1 TSA: Agrostis stolonifera c200133_g2 transcribed RNA sequence-table6-Narnaviridae-HMM2-157_25.0-ORF19
seq203	>tsa-GFQK01068000.1 TSA: Agrostis stolonifera c169839_g1 transcribed RNA sequence-table6-Narnaviridae-HMM311-576_25.0-ORF38
seq204	>tsa-GFQK01211390.1 TSA: Agrostis stolonifera c114149_g1 transcribed RNA sequence-table6-Narnaviridae-HMM1-230_45.0-ORF15
seq205	>tsa-GFQK01223913.1 (REVERSE SENSE) TSA: Agrostis stolonifera c200133_g1 transcribed RNA sequence-table6-Narnaviridae-HMM485-621_21.0-ORF56
seq206	>tsa-GFAO01140962.1 TSA: Allium macrostemon c128144_g1 transcribed RNA sequence-table1-Narnaviridae-HMM11-124_83.0-ORF6
seq207	>tsa-GFAO01155983.1 TSA: Allium macrostemon c114814_g2 transcribed RNA sequence-table4-Narnaviridae-HMM66-163_35.0-ORF10
seq208	>tsa-GEZL01037418.1 TSA: Ambrosia artemisiifolia TR24754_c0_g3_i1 transcribed RNA sequence-table6-Narnaviridae-HMM356-594_33.0-ORF23
seq209	>tsa-GFWB01026448.1 TSA: Ambrosia artemisiifolia TRINITY_DN22707_c2_g1_i2 transcribed RNA sequence-table6-Narnaviridae-HMM325-563_28.0-ORF22
seq210	>tsa-GFWB01026449.1 TSA: Ambrosia artemisiifolia TRINITY_DN22707_c2_g1_i3 transcribed RNA sequence-table6-Narnaviridae-HMM356-594_27.0-ORF27
seq211	>tsa-GFWB01026450.1 TSA: Ambrosia artemisiifolia TRINITY_DN22707_c2_g1_i4 transcribed RNA sequence-table6-Narnaviridae-HMM330-568_28.0-ORF23
seq212	>tsa-GFWS01012631.1 TSA: Ambrosia artemisiifolia TRINITY_DN23347_c1_g1_i2 transcribed RNA sequence-table6-Narnaviridae-HMM356-594_27.0-ORF27
seq213	>tsa-GAZZ01034193.1 (REVERSE SENSE) TSA: Ammopiptanthus mongolicus Unigene7520_All transcribed RNA sequence-table6-Narnaviridae-HMM6-107_75.0-ORF17
seq214	>tsa-GFDK01048367.1 TSA: Ananas comosus Unigene0048406 transcribed RNA sequence-table6-Narnaviridae-HMM42-106_59.0-ORF5
seq215	>tsa-GAFD01022345.1 TSA: Anolis carolinensis a516968 mRNA sequence-table1-Narnaviridae-HMM40-139_68.0-ORF4
seq216	>tsa-GAFN01084904.1 TSA: Anolis carolinensis comp58414_c0_seq1 mRNA sequence-table1-Narnaviridae-HMM40-139_68.0-ORF4
seq217	>tsa-GBBS01085028.1 TSA: Anolis carolinensis comp58414_c0_seq1 transcribed RNA sequence-table1-Narnaviridae-HMM40-139_68.0-ORF4
seq218	>tsa-GAFE01021561.1 TSA: Anopheles sinensis contig_26064 mRNA sequence-table1-Narnaviridae-HMM4-152_70.0-ORF10
seq219	>tsa-GDJX01010182.1 TSA: Anthurium amnicola c107851_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM510-645_14.0-ORF28
seq220	>tsa-GDJX01012669.1 (REVERSE SENSE) TSA: Anthurium amnicola c103934_g1_i1 transcribed RNA sequence-table4-Narnaviridae-HMM2-88_27.0-ORF106
seq221	>tsa-GDJX01018085.1 TSA: Anthurium amnicola c78830_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM147-187_21.0-ORF28
seq222	>tsa-GBKP01037844.1 (REVERSE SENSE) TSA: Anthurium andraeanum Unigene038190 transcribed RNA sequence-table1-Narnaviridae-HMM1-172_98.0-ORF15
seq223	>tsa-GEHN01067560.1 (REVERSE SENSE) TSA: Apios americana comp56784_c1_seq2 transcribed RNA sequence-table4-Narnaviridae-HMM26-250_68.0-ORF132
seq224	>tsa-GEHN01089611.1 TSA: Apios americana comp58240_c1_seq8 transcribed RNA sequence-table6-Narnaviridae-HMM21-80_53.0-ORF48
seq225	>tsa-GEHN01089613.1 TSA: Apios americana comp58240_c1_seq10 transcribed RNA sequence-table6-Narnaviridae-HMM21-80_53.0-ORF48
seq226	>tsa-GEHN01089617.1 TSA: Apios americana comp58240_c1_seq14 transcribed RNA sequence-table6-Narnaviridae-HMM21-80_53.0-ORF48
seq227	>tsa-GEHN01089618.1 TSA: Apios americana comp58240_c1_seq15 transcribed RNA sequence-table6-Narnaviridae-HMM21-80_53.0-ORF48
seq228	>tsa-GEHN01089619.1 TSA: Apios americana comp58240_c1_seq16 transcribed RNA sequence-table6-Narnaviridae-HMM21-80_53.0-ORF48
seq229	>tsa-GAER01039662.1 (REVERSE SENSE) TSA: Arachis hypogaea Unigene39689 mRNA sequence-table6-Narnaviridae-HMM13-67_53.0-ORF13
seq230	>tsa-GDKN01079512.1 (REVERSE SENSE) TSA: Arachis hypogaea Aipa26077_comp0_c0_seq1 transcribed RNA sequence-table4-Narnaviridae-HMM27-83_60.0-ORF14
seq231	>tsa-GDKN01089923.1 TSA: Arachis hypogaea Aipa37248_comp1_c0_seq2 transcribed RNA sequence-table6-Narnaviridae-HMM41-106_55.0-ORF9
seq232	>tsa-GBIQ01010472.1 TSA: Arachis ipaensis 187385 transcribed RNA sequence-table4-Narnaviridae-HMM27-73_63.0-ORF5
seq233	>tsa-GBIS01004285.1 (REVERSE SENSE) TSA: Arachis ipaensis Contig_4285 transcribed RNA sequence-table4-Narnaviridae-HMM27-73_63.0-ORF10
seq234	>tsa-GBJL01018726.1 TSA: Arachis ipaensis Contig18726 transcribed RNA sequence-table4-Narnaviridae-HMM27-73_63.0-ORF5
seq235	>tsa-GBJP01006770.1 TSA: Arachis ipaensis k21_371709 transcribed RNA sequence-table4-Narnaviridae-HMM27-73_63.0-ORF5
seq236	>tsa-GDBK01021184.1 (REVERSE SENSE) TSA: Arachis stenosperma A_stenosperma_Nema_HiSeq_L_3048_T_5 transcribed RNA sequence-table6-Narnaviridae-HMM13-67_53.0-ORF69
seq237	>tsa-GCKF01007653.1 (REVERSE SENSE) TSA: Araucaria cunninghamii Ref_Hoop_Pine_Transcript_8732_538 transcribed RNA sequence-table1-Narnaviridae-HMM3-176_96.0-ORF15
seq238	>tsa-GEFW01023502.1 (REVERSE SENSE) TSA: Atractylodes lancea Contig49034_C5-2-6-R-a transcribed RNA sequence-table4-Narnaviridae-HMM21-64_59.0-ORF9
seq239	>tsa-GEFZ01002494.1 (REVERSE SENSE) TSA: Atractylodes lancea Contig3346_C5-2-6-S-a transcribed RNA sequence-table4-Narnaviridae-HMM31-74_52.0-ORF11
seq240	>tsa-GEFZ01021257.1 TSA: Atractylodes lancea Contig49137_C5-2-6-S-a transcribed RNA sequence-table6-Narnaviridae-HMM17-70_75.0-ORF5
seq241	>tsa-GEGA01016203.1 (REVERSE SENSE) TSA: Atractylodes lancea Contig36175_C5-2-6-L-a transcribed RNA sequence-table6-Narnaviridae-HMM56-196_70.0-ORF18
seq242	>tsa-GBTV01009554.1 (REVERSE SENSE) TSA: Azolla filiculoides AzfiRT08109 transcribed RNA sequence-table6-Narnaviridae-HMM359-617_30.0-ORF66
seq243	>tsa-GEIC01032779.1 (REVERSE SENSE) TSA: Betula papyrifera TRINITY_DN24738_c0_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM42-121_59.0-ORF10
seq244	>tsa-GEIC01081190.1 TSA: Betula papyrifera TRINITY_DN45631_c0_g1_i1 transcribed RNA sequence-table4-Narnaviridae-HMM383-495_22.0-ORF20
seq245	>tsa-GEIC01134750.1 TSA: Betula papyrifera TRINITY_DN68350_c0_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM22-94_67.0-ORF2
seq246	>tsa-GEIC01273857.1 TSA: Betula papyrifera TRINITY_DN146888_c0_g1_i1 transcribed RNA sequence-table1-Narnaviridae-HMM1-184_98.0-ORF9
seq247	>tsa-GBAD01014194.1 TSA: Boechera gunnisoniana comp60712_c2_seq1 transcribed RNA sequence-table1-Narnaviridae-HMM5-94_93.0-ORF3
seq248	>tsa-GEUE01035234.1 (REVERSE SENSE) TSA: Callosobruchus maculatus c29442_g1_i1 transcribed RNA sequence-table1-Narnaviridae-HMM1-215_35.0-ORF42
seq249	>tsa-GEUH01052156.1 TSA: Callosobruchus maculatus c14264_g1_i1 transcribed RNA sequence-table1-Narnaviridae-HMM168-401_43.0-ORF14
seq250	>tsa-HAHC01099958.1 (REVERSE SENSE) TSA: Calvadosia cruxmelitensis, contig Ccrux.27114.c0_g1_i1, transcribed RNA sequence-table4-Narnaviridae-HMM40-267_47.0-ORF43
seq251	>tsa-GBHI01004796.1 (REVERSE SENSE) TSA: Camellia oleifera ColeSingleton6719 transcribed RNA sequence-table6-Narnaviridae-HMM73-145_49.0-ORF13
seq252	>tsa-GBHI01013362.1 (REVERSE SENSE) TSA: Camellia oleifera ColeSingleton18615 transcribed RNA sequence-table4-Narnaviridae-HMM44-122_55.0-ORF15
seq253	>tsa-GBHI01032628.1 (REVERSE SENSE) TSA: Camellia oleifera ColeSingleton44180 transcribed RNA sequence-table4-Narnaviridae-HMM16-141_83.0-ORF16
seq254	>tsa-GBHI01083691.1 TSA: Camellia oleifera ColeIsotig12427 transcribed RNA sequence-table4-Narnaviridae-HMM4-62_79.0-ORF3
seq255	>tsa-GEFY01002763.1 TSA: Camellia oleifera Unigene02763 transcribed RNA sequence-table1-Narnaviridae-HMM45-186_73.0-ORF8
seq256	>tsa-GEFY01008742.1 TSA: Camellia oleifera Unigene08744 transcribed RNA sequence-table6-Narnaviridae-HMM34-147_64.0-ORF24
seq257	>tsa-GEFY01040733.1 TSA: Camellia oleifera Unigene40738 transcribed RNA sequence-table4-Narnaviridae-HMM102-198_44.0-ORF12
seq258	>tsa-GEFY01054626.1 (REVERSE SENSE) TSA: Camellia oleifera Unigene54641 transcribed RNA sequence-table4-Narnaviridae-HMM26-179_74.0-ORF21
seq259	>tsa-GEFY01055813.1 TSA: Camellia oleifera Unigene55828 transcribed RNA sequence-table1-Narnaviridae-HMM77-157_50.0-ORF5
seq260	>tsa-GEER01000984.1 TSA: Camellia reticulata CRD_FB_c39050_g16_i1 transcribed RNA sequence-table6-Narnaviridae-HMM34-147_64.0-ORF10
seq261	>tsa-GEER01008220.1 TSA: Camellia reticulata CRD_ML_c62877_g1_i1 transcribed RNA sequence-table1-Narnaviridae-HMM1-87_98.0-ORF6
seq262	>tsa-GEER01058260.1 TSA: Camellia reticulata CRD_FR_c33549_g5_i1 transcribed RNA sequence-table4-Narnaviridae-HMM4-54_92.0-ORF5
seq263	>tsa-GFMU01065191.1 (REVERSE SENSE) TSA: Camellia sinensis c1617.graph_c0 transcribed RNA sequence-table6-Narnaviridae-HMM12-125_74.0-ORF14
seq264	>tsa-GFMU01087535.1 TSA: Camellia sinensis c185102.graph_c0 transcribed RNA sequence-table1-Narnaviridae-HMM1-142_58.0-ORF10
seq265	>tsa-GFMU01094930.1 TSA: Camellia sinensis c193011.graph_c0 transcribed RNA sequence-table1-Narnaviridae-HMM1-77_95.0-ORF2
seq266	>tsa-GFMU01121000.1 TSA: Camellia sinensis c221013.graph_c0 transcribed RNA sequence-table1-Narnaviridae-HMM23-71_66.0-ORF4
seq267	>tsa-GFMU01128551.1 TSA: Camellia sinensis c229534.graph_c0 transcribed RNA sequence-table1-Narnaviridae-HMM7-70_90.0-ORF4
seq268	>tsa-GARM01072253.1 TSA: Camellia sinensis var. sinensis comp57099_c0_seq1 transcribed RNA sequence-table1-Narnaviridae-HMM1-182_98.0-ORF5
seq269	>tsa-GFTM01049631.1 TSA: Camontagnea oxyclada GWS016449_comp102972_c0_seq1 transcribed RNA sequence-table4-Narnaviridae-HMM133-510_53.0-ORF29
seq270	>tsa-GFTM01181246.1 (REVERSE SENSE) TSA: Camontagnea oxyclada GWS016449_comp241090_c0_seq1 transcribed RNA sequence-table4-Narnaviridae-HMM2-77_75.0-ORF10
seq271	>tsa-GAXU01008474.1 TSA: Capsicum annuum Capsicum_annuum_Resistant_118008_c1_seq1_len839 transcribed RNA sequence-table6-Narnaviridae-HMM81-196_50.0-ORF9
seq272	>tsa-GAXU01016433.1 (REVERSE SENSE) TSA: Capsicum annuum Capsicum_annuum_Resistant_124773_c1_seq1_len2109 transcribed RNA sequence-table6-Narnaviridae-HMM89-204_49.0-ORF32
seq273	>tsa-GAXU01036957.1 TSA: Capsicum annuum Capsicum_annuum_Resistant_184316seq1_len1743 transcribed RNA sequence-table6-Narnaviridae-HMM27-151_34.0-ORF17
seq274	>tsa-GAXU01052919.1 (REVERSE SENSE) TSA: Capsicum annuum Capsicum_annuum_Resistant_1182488seq1_len227 transcribed RNA sequence-table1-Narnaviridae-HMM1-75_98.0-ORF6
seq275	>tsa-GAXU01055487.1 (REVERSE SENSE) TSA: Capsicum annuum Capsicum_annuum_Resistant_1202595seq1_len682 transcribed RNA sequence-table1-Narnaviridae-HMM1-115_50.0-ORF19
seq276	>tsa-GAXU01062217.1 (REVERSE SENSE) TSA: Capsicum annuum Capsicum_annuum_Resistant_1248738seq1_len311 transcribed RNA sequence-table6-Narnaviridae-HMM14-62_59.0-ORF7
seq277	>tsa-GAXU01071959.1 TSA: Capsicum annuum Capsicum_annuum_Resistant_1356454seq1_len213 transcribed RNA sequence-table1-Narnaviridae-HMM1-70_98.0-ORF1
seq278	>tsa-GAXV01006880.1 (REVERSE SENSE) TSA: Capsicum annuum Capsicum_annuum_suceptible16743seq1_lent907 transcribed RNA sequence-table6-Narnaviridae-HMM81-196_50.0-ORF19
seq279	>tsa-GAXV01011177.1 TSA: Capsicum annuum Capsicum_annuum_suceptible20892seq2_lent930 transcribed RNA sequence-table6-Narnaviridae-HMM124-214_41.0-ORF11
seq280	>tsa-GAXV01036834.1 (REVERSE SENSE) TSA: Capsicum annuum Capsicum_annuum_suceptible88051seq1_lent1808 transcribed RNA sequence-table6-Narnaviridae-HMM27-151_34.0-ORF42
seq281	>tsa-GAXV01050730.1 (REVERSE SENSE) TSA: Capsicum annuum Capsicum_annuum_suceptible168111seq1_lent339 transcribed RNA sequence-table1-Narnaviridae-HMM34-112_69.0-ORF9
seq282	>tsa-IABX01132835.1 (REVERSE SENSE) TSA: Caridina multidentata mRNA, contig: Cm_tra_AS01_contig_27618, transcribed RNA sequence-table6-Narnaviridae-HMM304-578_30.0-ORF47
seq283	>tsa-GDAX01015421.1 TSA: Carya cathayensis Unigene015439 transcribed RNA sequence-table6-Narnaviridae-HMM8-106_42.0-ORF11
seq284	>tsa-GDAX01018162.1 TSA: Carya cathayensis Unigene018182 transcribed RNA sequence-table6-Narnaviridae-HMM107-223_45.0-ORF21
seq285	>tsa-GDAX01044574.1 TSA: Carya cathayensis Unigene044610 transcribed RNA sequence-table6-Narnaviridae-HMM6-85_68.0-ORF30
seq286	>tsa-GDAX01044575.1 TSA: Carya cathayensis Unigene044611 transcribed RNA sequence-table6-Narnaviridae-HMM6-85_68.0-ORF66
seq287	>tsa-GFTL01042761.1 TSA: Carya illinoinensis comp128818_c0_seq1 transcribed RNA sequence-table1-Narnaviridae-HMM13-89_85.0-ORF3
seq288	>tsa-GEBJ01012731.1 (REVERSE SENSE) TSA: Casuarina equisetifolia Unigene012747 transcribed RNA sequence-table6-Narnaviridae-HMM6-61_47.0-ORF18
seq289	>tsa-GEBJ01086663.1 (REVERSE SENSE) TSA: Casuarina equisetifolia Unigene086743 transcribed RNA sequence-table6-Narnaviridae-HMM1-150_86.0-ORF18
seq290	>tsa-GEBJ01092789.1 (REVERSE SENSE) TSA: Casuarina equisetifolia Unigene092872 transcribed RNA sequence-table6-Narnaviridae-HMM37-122_61.0-ORF18
seq291	>tsa-GBPU01010966.1 TSA: Ceratina chalybea C66643_a_41_0_l_3144 transcribed RNA sequence-table4-Narnaviridae-HMM405-658_24.0-ORF26
seq292	>tsa-GEML01315733.1 TSA: Channa argus TRINITY_DN264303_c0_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM215-298_27.0-ORF14
seq293	>tsa-GEML01355512.1 (REVERSE SENSE) TSA: Channa argus TRINITY_DN302883_c0_g1_i1 transcribed RNA sequence-table1-Narnaviridae-HMM3-131_92.0-ORF11
seq294	>tsa-GFPK01204939.1 TSA: Chiloglottis trapeziformis DN60502_c0_g1_i1 transcribed RNA sequence-table4-Narnaviridae-HMM1-188_47.0-ORF17
seq295	>tsa-GFPK01204940.1 TSA: Chiloglottis trapeziformis DN60502_c0_g2_i1 transcribed RNA sequence-table4-Narnaviridae-HMM1-188_48.0-ORF16
seq296	>tsa-GBAH01009343.1 TSA: Chlamydomonas acidophila contig13126 transcribed RNA sequence-table6-Narnaviridae-HMM83-380_73.0-ORF10
seq297	>tsa-GFWA01030331.1 TSA: Chlamydomonas acidophila comp14142_c0_seq1 transcribed RNA sequence-table6-Narnaviridae-HMM228-493_33.0-ORF24
seq298	>tsa-GACH01090825.1 (REVERSE SENSE) TSA: Chromolaena odorata Unigene113272_AA mRNA sequence-table1-Narnaviridae-HMM313-530_34.0-ORF58
seq299	>tsa-GEXP01022147.1 TSA: Coffea arabica comp203734_c0_seq1 transcribed RNA sequence-table1-Narnaviridae-HMM3-87_96.0-ORF3
seq300	>tsa-GBSL01082947.1 TSA: Coleochaete orbicularis comp366999_c0_seq1 transcribed RNA sequence-table1-Narnaviridae-HMM2-103_98.0-ORF4
seq301	>tsa-GCIB01004342.1 TSA: Colobanthus quitensis Colobanthus_quitensis_contig_4292_1 transcribed RNA sequence-table4-Narnaviridae-HMM203-419_33.0-ORF23
seq302	>tsa-GDKJ01005156.1 TSA: Colpodella angusta a121405_9 transcribed RNA sequence-table1-Narnaviridae-HMM124-428_50.0-ORF18
seq303	>tsa-GDKJ01026489.1 TSA: Colpodella angusta a31353_16 transcribed RNA sequence-table6-Narnaviridae-HMM338-575_27.0-ORF25
seq304	>tsa-GCNR01021694.1 TSA: Corchorus capsularis unigene_S3_21716 transcribed RNA sequence-table4-Narnaviridae-HMM1-180_99.0-ORF4
seq305	>tsa-GBSG01008650.1 (REVERSE SENSE) TSA: Cronartium ribicola Cr-comp124067_c0_seq1 transcribed RNA sequence-table4-Narnaviridae-HMM1-253_56.0-ORF34
seq306	>tsa-GBSG01013149.1 (REVERSE SENSE) TSA: Cronartium ribicola Cr-comp128732_c1_seq1 transcribed RNA sequence-table4-Narnaviridae-HMM186-541_63.0-ORF42
seq307	>tsa-GBSG01013416.1 TSA: Cronartium ribicola Cr-comp128846_c0_seq1 transcribed RNA sequence-table4-Narnaviridae-HMM145-484_48.0-ORF33
seq308	>tsa-GBSG01013621.1 (REVERSE SENSE) TSA: Cronartium ribicola Cr-comp128912_c0_seq1 transcribed RNA sequence-table4-Narnaviridae-HMM140-434_67.0-ORF39
seq309	>tsa-GBSG01013623.1 (REVERSE SENSE) TSA: Cronartium ribicola Cr-comp128912_c0_seq3 transcribed RNA sequence-table4-Narnaviridae-HMM140-533_62.0-ORF59
seq310	>tsa-GBSG01013692.1 (REVERSE SENSE) TSA: Cronartium ribicola Cr-comp128937_c0_seq2 transcribed RNA sequence-table6-Narnaviridae-HMM290-495_27.0-ORF37
seq311	>tsa-GBSG01013694.1 (REVERSE SENSE) TSA: Cronartium ribicola Cr-comp128939_c0_seq3 transcribed RNA sequence-table4-Narnaviridae-HMM131-488_58.0-ORF49
seq312	>tsa-GBSG01013695.1 (REVERSE SENSE) TSA: Cronartium ribicola Cr-comp128939_c0_seq4 transcribed RNA sequence-table4-Narnaviridae-HMM131-488_61.0-ORF48
seq313	>tsa-GBSG01013697.1 (REVERSE SENSE) TSA: Cronartium ribicola Cr-comp128939_c0_seq6 transcribed RNA sequence-table4-Narnaviridae-HMM131-468_71.0-ORF38
seq314	>tsa-GBSG01013699.1 (REVERSE SENSE) TSA: Cronartium ribicola Cr-comp128939_c0_seq8 transcribed RNA sequence-table4-Narnaviridae-HMM131-484_72.0-ORF40
seq315	>tsa-GBWH01015246.1 TSA: Crossocerus quadrimaculatus s4895_L_13043_0_a_5_0_l_2288 transcribed RNA sequence-table1-Narnaviridae-HMM128-403_36.0-ORF33
seq316	>tsa-GDKE01013485.1 TSA: Cuscuta gronovii cg_c9494 transcribed RNA sequence-table6-Narnaviridae-HMM51-128_51.0-ORF6
seq317	>tsa-GAON01145411.1 TSA: Cuscuta pentagona Cpent_contig_145479 transcribed RNA sequence-table4-Narnaviridae-HMM118-205_37.0-ORF9
seq318	>tsa-GAON01145415.1 TSA: Cuscuta pentagona Cpent_contig_145483 transcribed RNA sequence-table6-Narnaviridae-HMM51-128_51.0-ORF5
seq319	>tsa-GEUI01041622.1 TSA: Cyclocarya paliurus c51057_g1_i1 transcribed RNA sequence-table4-Narnaviridae-HMM13-135_90.0-ORF11
